TYPE,CATEGORY,QUESTION,help text,image video,is_required,correct_answers,"correct_feedback
",incorrect_feedback,correct answers texts(optional),choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 11,,,,
CHOICE,countable uncountable nouns,Did you hear that Frank is asking for ___jam?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Grace is asking for ___ time off?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Harriet is asking for ___money?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Isla is asking for ___coffee?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Jenny is asking for ___luggage storage in the lobby?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Luna is asking for ___time off?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Olivia is asking the city council for ___wildlife in the park?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Orla is asking for ___ management freedom?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Pavel is asking for ___ money?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Poppy is asking for ___freedom in her project?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Robert is asking for ___food?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Yuri is asking for ___ attention be give to those living in poverty?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Yuri is asking for ___ time off?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Did you hear that Yuri is asking for ___ time to prepare?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,more,more,many,much,,,,,,,,,,,,
CHOICE,countable uncountable nouns,Ed is asking for ___ on the MTS- project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Ellen ___ things when she went to Serbia.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,took a lot of,took a lot of,taking a lot of ,taking many,to take a lot of,,,,,,,,,,,
CHOICE,countable uncountable nouns,Elsie is asking for ___ on the Alliance Oil  project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Elsie is asking for ___ on the Centerenergo project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Eva is asking for ___ on the Alliance Oil  project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Francis ___ gifts when she went to Philippines.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,took a lot of,took a lot of,taking a lot of ,taking many,to take a lot of,,,,,,,,,,,
CHOICE,countable uncountable nouns,Francis ___clothes when she returned from her trip to Panama.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Francis ___luggage when she returned from her trip to Ukraine.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Francis ___luggage when she went to Singapore.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,bought a lot of,bought a lot of,buyed a lot of,buy a lot of,buy many,buy much,buy too much,,,,,,,,,
CHOICE,countable uncountable nouns,Frank is asking for ___ on the Comfy project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Gerda ___ money  when she went to Turkey.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,took a lot of,took a lot of,taking a lot of ,taking many,to take a lot of,,,,,,,,,,,
CHOICE,countable uncountable nouns,Gerda ___chop sticks when she returned from her trip to Czech Republic.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Gracie is asking for ___ on the Gaztek project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Helen ___ gifts when she went to Malaysia.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,took a lot of,took a lot of,taking a lot of ,taking many,to take a lot of,,,,,,,,,,,
CHOICE,countable uncountable nouns,Irene ___luggage when she returned from her trip to Poland.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Julia ___ souvenirs when she went to Senegal.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,bought a lot of,bought a lot of,buyed a lot of,buy a lot of,buy many,buy much,buy too much,,,,,,,,,
CHOICE,countable uncountable nouns,Julia ___shoes when she returned from her trip to Colombia .,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Julia is asking for ___ on the AeroSvit project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Kathy ___ gifts when she returned from her trip to South Korea.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Kathy ___stuff when she returned from her trip to Nicaragua.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Kelly ___ souvenirs when she went to Slovakia.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,bought a lot of,bought a lot of,buyed a lot of,buy a lot of,buy many,buy much,buy too much,,,,,,,,,
CHOICE,countable uncountable nouns,Kelly ___incense when she returned from her trip to Iraq.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Kristin ___ gifts when she went to Sudan.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,bought a lot of,bought a lot of,buyed a lot of,buy a lot of,buy many,buy much,buy too much,,,,,,,,,
CHOICE,countable uncountable nouns,Kristin ___ things when she returned from her trip to Botswana.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Kristin ___ things when she went to Argentina.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,bought a lot of,bought a lot of,buyed a lot of,buy a lot of,buy many,buy much,buy too much,,,,,,,,,
CHOICE,countable uncountable nouns,Kristin ___shoes when she returned from her trip to Serbia.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Layla is asking for ___ on the DEMZ project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Matilda is asking for ___ on the Krukov Carriages project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Maya is asking for ___ on the Global Spirits project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Millie is asking for ___ on the Oracle project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Misha ___ things when she returned from her trip to Mongolia.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,brought back a lot of,brought back a lot of,bringing back a lot of,to bring back a lot of,brought back much of,brought back few,,,,,,,,,,
CHOICE,countable uncountable nouns,Pavel is asking for ___ on the Procter & Gamble  project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Phoebe is asking for ___ on the Bunge  project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Reggie is asking for ___ on the Oracle project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Ruby is asking for ___ on the LG Electronics  project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Sarah ___clothes when she went to Botswana.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,bought a lot of,bought a lot of,buyed a lot of,buy a lot of,buy many,buy much,buy too much,,,,,,,,,
CHOICE,countable uncountable nouns,Sarah ___photographs when she went to Portugal.,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,took a lot of,took a lot of,taking a lot of ,taking many,to take a lot of,,,,,,,,,,,
CHOICE,countable uncountable nouns,Silas is asking for ___ on the Toyota  project. Can ___provide some assistance?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,advice/someone,advice/someone,advices/no one,advices/someone,advise/someone,advice/something,advices/who,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Alex that there is ___sugar in the trunk of the car. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Alice that there is ___juice in the trunk of the car. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Amber that there is ___smell in the train. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Andrew that there is ___grass in the living room. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Anna that there is ___grass in the living room. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Ava that there is ___sugar in the closet. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Bob that there is ___sugar in the meeting room. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Bob that there is ___wine in the closet. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Bruce that there is ___cheese in the cupboard. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Daisy that there is ___stench in the back of the car. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Darcie that there is ___sugar in the meeting room. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Eliza that there is ___smell in the back of the car. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Eliza that there is ___water in the train. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Ellie that there is ___dirt in the living room. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Emma that there is ___money in the refridgerator. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Eva that there is ___garbage in the trunk of the car. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,some,some,many,much,any,,,,,,,,,,,
CHOICE,countable uncountable nouns,Someone  told Eva that there is ___water in the cabinet. Do you know anything about that?,"Countable nouns: individual people, animals, places, things, or ideas which can be counted. 
Uncountable nouns: not individual objects, so they cannot be counted.",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,a lot of,a lot of,many,much,any,few,,,,,,,,,,
